,label,portion_info,energy,protein,total_fat,carbs,fibre,sodium,portion_size,region
948G16,"Sea catfish, raw",Per 100 g,91.0,20.1,1.1,0.0,0.0,0.0,100,TH
949G17,"Sea catfish, dried",Per 100 g,219.0,48.0,2.8,0.4,0.0,0.0,100,TH
94B29,Sago flour,Per 100 g,342.0,0.0,0.0,85.3,0.0,0.0,100,TH
950G19,"Bluespot gray mullet, raw",Per 100 g,101.0,19.8,1.7,0.0,0.0,0.0,100,TH
951G18,"Bluespot gray mullet, dried",Per 100 g,198.0,40.4,3.6,1.1,0.0,0.0,100,TH
952G207,"Bluespot gray mullet, boiled",Per 100 g,123.0,25.7,2.2,0.0,0.0,88.0,100,TH
953G22,"Spotted featherback, flesh, raw",Per 100 g,78.0,16.8,1.2,0.0,0.0,193.0,100,TH
954G23,"Spotted featherback, flesh, boiled",Per 100 g,82.0,16.2,0.8,2.4,0.0,147.0,100,TH
955G21,"Spotted featherback, flesh, boiled",Per 100 g,84.0,17.5,1.6,0.0,0.0,0.0,100,TH
956G24,"Three-spot gourami, dried",Per 100 g,318.0,40.3,17.4,0.0,0.0,0.0,100,TH
957G25,"Armed spiny eel, raw",Per 100 g,114.0,20.2,3.4,0.7,0.0,0.0,100,TH
958G28,"Giant seaperch, raw",Per 100 g,118.0,21.8,3.2,0.5,0.0,57.0,100,TH
959G26,"Giant seaperch, boiled",Per 100 g,136.0,23.7,4.6,0.0,0.0,67.0,100,TH
95N4,"Fingerroot, raw",Per 100 g,21.0,0.3,0.4,3.7,0.6,20.0,100,TH
960G27,"Giant seaperch, steamed",Per 100 g,126.0,22.9,3.1,1.4,0.0,71.0,100,TH
961G33,"Malabar red snapper, raw",Per 100 g,80.0,18.1,0.5,0.8,0.0,114.0,100,TH
962G30,"Malabar red snapper, boiled",Per 100 g,104.0,23.7,0.9,0.1,0.0,114.0,100,TH
963G31,"Malabar red snapper, fried",Per 100 g,216.0,29.3,10.9,0.0,0.0,189.0,100,TH
964G32,"Malabar red snapper, steamed",Per 100 g,98.0,23.1,0.7,0.0,0.0,107.0,100,TH
965G34,"Russell's snapper, raw",Per 100 g,78.0,18.9,0.3,0.0,0.0,0.0,100,TH
966G37,"Grouper, raw",Per 100 g,82.0,18.8,0.5,0.4,0.0,165.0,100,TH
967G35,"Grouper, fried",Per 100 g,241.0,31.8,12.5,0.2,0.0,268.0,100,TH
968G36,"Grouper, steamed",Per 100 g,109.0,23.3,1.0,1.5,0.0,0.0,100,TH
969G208,"Grouper, head, boiled",Per 100 g,125.0,25.1,2.7,0.1,0.0,99.0,100,TH
96N2,"Garlic, fresh",Per 100 g,51.0,2.1,0.1,10.4,0.0,21.0,100,TH
970G38,"Pla-kaew, dried",Per 100 g,398.0,65.5,14.5,1.4,0.0,273.0,100,TH
971G39,"Small carp, dried",Per 100 g,368.0,60.9,13.4,0.7,0.0,2.3,100,TH
972G42,"Silver pomfret, raw",Per 100 g,139.0,19.3,6.8,0.0,0.0,166.0,100,TH
973G40,"Silver pomfret, fried",Per 100 g,334.0,32.5,22.7,0.0,0.0,206.0,100,TH
974G41,"Silver pomfret, steamed",Per 100 g,159.0,23.1,7.4,0.0,0.0,301.0,100,TH
975G44,"Black pomfret, raw",Per 100 g,116.0,20.6,3.6,0.2,0.0,131.0,100,TH
976G43,"Black pomfret, fried",Per 100 g,293.0,31.8,18.2,0.5,0.0,171.0,100,TH
977G45,"Black pomfret, steamed",Per 100 g,160.0,23.1,6.9,1.2,0.0,105.0,100,TH
978G46,"Shark, Walbeehm's sharp-nosed, raw",Per 100 g,105.0,26.0,0.0,0.0,0.0,0.0,100,TH
979G47,"Striped snake-head fish, raw",Per 100 g,109.0,20.0,3.2,0.0,0.0,49.0,100,TH
97N1,"Garlic, dried bulbs",Per 100 g,125.0,6.3,0.2,22.0,4.7,12.0,100,TH
980G48,"Striped snake-head fish, boiled",Per 100 g,160.0,18.7,8.6,1.9,0.0,36.0,100,TH
981G49,"Striped snake-head fish, steamed",Per 100 g,151.0,20.6,7.2,0.7,0.0,46.0,100,TH
982G209,"Striped snake-head fish, fried",Per 100 g,491.0,47.6,33.1,0.6,0.0,183.0,100,TH
983G50,"Striped snake-head fish, roasted",Per 100 g,212.0,29.3,10.1,0.8,0.0,86.0,100,TH
984G51,"Striped snake-head fish, dried",Per 100 g,249.0,45.7,7.0,0.8,0.0,0.0,100,TH
985G210,"Striped snake-head fish, belly, steamed",Per 100 g,350.0,13.3,32.2,1.5,0.0,0.0,100,TH
986G52,"Cobia, dried",Per 100 g,185.0,41.8,2.0,0.0,0.0,0.0,100,TH
987G211,"Rasbora, raw",Per 100 g,131.0,15.2,7.6,0.5,0.0,314.0,100,TH
988G72,"Rasbora, dried",Per 100 g,405.0,58.8,18.7,0.3,0.0,0.0,100,TH
989G77,"Gunther's walking catfish, raw",Per 100 g,209.0,17.8,14.7,1.3,0.0,65.0,100,TH
98N3,"Holy basil, leaves",Per 100 g,41.0,3.2,0.4,4.0,4.1,146.0,100,TH
990G74,"Gunther's walking catfish, boiled",Per 100 g,212.0,18.2,15.5,0.0,0.0,45.0,100,TH
991G75,"Gunther's walking catfish, fried",Per 100 g,315.0,28.1,22.5,0.0,0.0,95.0,100,TH
992G76,"Gunther's walking catfish, roasted",Per 100 g,276.0,28.1,17.9,0.5,0.0,91.0,100,TH
993G80,"Common silver barb, raw",Per 100 g,121.0,20.1,4.4,0.0,0.0,90.0,100,TH
994G78,"Common silver barb, boiled",Per 100 g,177.0,19.3,10.7,0.7,0.0,64.0,100,TH
995G79,"Common silver barb, fried",Per 100 g,311.0,25.6,22.8,0.7,0.0,106.0,100,TH
996G81,"Purple-spotted bigeye, raw",Per 100 g,82.0,19.5,0.4,0.0,0.0,0.0,100,TH
997G212,"Nile tilapia, red, steamed",Per 100 g,172.0,22.6,8.5,1.0,0.0,0.0,100,TH
998G86,"Short bodied mackerel, steamed",Per 100 g,137.0,24.4,4.3,0.0,0.0,816.0,100,TH
999G87,"Short bodied mackerel, steamed, boiled",Per 100 g,120.0,21.8,2.7,1.9,0.0,568.0,100,TH
99N38,"Cardamom, leaves",Per 100 g,373.0,9.5,6.3,69.3,0.0,0.0,100,TH
9A12,"Rice, polished, Jasmine variety, raw",Per 100 g,357.0,6.4,0.7,80.8,0.7,18.0,100,TH
